id,host_id,country,latitude,longitude,property_type,room_type,bathrooms,price,review_scores_rating
66940,319901,Argentina,-34.58251,-58.42322,Condominium,Entire home/apt,1,3319,99
68173,31299,Argentina,-34.57894,-58.42858,Apartment,Entire home/apt,1,3385,98
68489,31299,Argentina,-34.58045,-58.43208,Apartment,Entire home/apt,1,4447,96
68800,221405,Argentina,-34.59278,-58.3876,Apartment,Entire home/apt,5,25224,91
68868,319901,Argentina,-34.5814,-58.4251,Condominium,Entire home/apt,1,7966,99
69063,344599,Argentina,-34.59429,-58.39778,Apartment,Entire home/apt,1,2191,93
69086,64880,Argentina,-34.61495,-58.37517,Loft,Entire home/apt,1,2655,86
69880,315089,Argentina,-34.57797,-58.43821,Apartment,Entire home/apt,2,7966,89
70082,353823,Argentina,-34.56928,-58.44377,Apartment,Entire home/apt,1,2987,97
71801,368954,Argentina,-34.59591,-58.39931,Apartment,Entire home/apt,1,4647,90
72204,373629,Argentina,-34.5902,-58.42993,Townhouse,Entire home/apt,2,24029,99
73180,161327,Argentina,-34.57213,-58.43294,Apartment,Entire home/apt,1,1991,95
74383,319901,Argentina,-34.58632,-58.43241,Loft,Entire home/apt,2,11616,100
75094,161327,Argentina,-34.58918,-58.39518,Apartment,Entire home/apt,1,2987,96
75492,400828,Argentina,-34.589,-58.42024,Loft,Entire home/apt,1,3186,95
75526,319901,Argentina,-34.58256,-58.42523,Condominium,Entire home/apt,1,4647,99
76005,315089,Argentina,-34.59014,-58.39386,Apartment,Entire home/apt,1,2655,100
76385,407702,Argentina,-34.61365,-58.3849,Apartment,Entire home/apt,1,2987,93
77024,411077,Argentina,-34.59258,-58.3866,Apartment,Entire home/apt,1,1726,90
77404,161327,Argentina,-34.56692,-58.43324,Apartment,Entire home/apt,1,3385,98
77704,417020,Argentina,-34.58107,-58.42602,Apartment,Entire home/apt,1,2854,93
77776,417598,Argentina,-34.59002,-58.40479,Apartment,Entire home/apt,1,4978,94
77860,402373,Argentina,-34.57269,-58.43395,Apartment,Private room,2,3983,94
77942,418692,Argentina,-34.62364,-58.39976,Apartment,Private room,1,3319,60
77994,64880,Argentina,-34.62014,-58.37371,Apartment,Entire home/apt,0,3319,72
78005,64880,Argentina,-34.61998,-58.37151,Apartment,Entire home/apt,1,3319,81
78009,64880,Argentina,-34.61998,-58.37151,Apartment,Entire home/apt,1,3983,90
78014,64880,Argentina,-34.61998,-58.37151,Apartment,Entire home/apt,1,2655,85
78068,419383,Argentina,-34.58288,-58.40535,Apartment,Entire home/apt,1,2323,92
78351,420786,Argentina,-34.57521,-58.42883,Condominium,Entire home/apt,1,2655,88
78685,419383,Argentina,-34.58332,-58.40643,Apartment,Entire home/apt,1,2987,95
78703,422878,Argentina,-34.59446,-58.39588,Apartment,Entire home/apt,1,3186,95
79226,426420,Argentina,-34.5522,-58.45802,Apartment,Entire home/apt,1,2589,94
79247,426566,Argentina,-34.61964,-58.41766,Apartment,Entire home/apt,1,1527,97
79766,422878,Argentina,-34.59118,-58.39664,Apartment,Entire home/apt,1,4315,97
80950,438269,Argentina,-34.59102,-58.43415,Apartment,Entire home/apt,1,1991,80
82623,449610,Argentina,-34.57361,-58.45238,Apartment,Entire home/apt,1,1726,92
83035,426566,Argentina,-34.62053,-58.41653,Apartment,Entire home/apt,1,2058,92
83152,319901,Argentina,-34.58064,-58.42367,Condominium,Entire home/apt,1,4315,98
83440,384997,Argentina,-34.59222,-58.41285,Apartment,Entire home/apt,1,6638,100
84033,458852,Argentina,-34.586,-58.42534,Apartment,Entire home/apt,1,3983,95
84730,426566,Argentina,-34.62053,-58.41653,Apartment,Entire home/apt,1,1460,96
84986,454822,Argentina,-34.57269,-58.41869,Apartment,Private room,1,929,96
85949,426566,Argentina,-34.62053,-58.41653,Apartment,Entire home/apt,1,1394,94
87828,480785,Argentina,-34.59278,-58.38196,Apartment,Private room,2,597,100
89374,319901,Argentina,-34.59307,-58.40337,Condominium,Entire home/apt,1,4978,98
89857,488300,Argentina,-34.60236,-58.39291,Apartment,Entire home/apt,1,3983,94
91063,492560,Argentina,-34.61842,-58.43194,Apartment,Entire home/apt,1,3850,93
92228,494027,Argentina,-34.58556,-58.40495,Apartment,Entire home/apt,1,3319,100
92689,488973,Argentina,-34.57682,-58.40062,Apartment,Entire home/apt,1,5310,91
93174,500210,Argentina,-34.60193,-58.40109,Apartment,Private room,1,1062,93
93619,501789,Argentina,-34.62583,-58.40795,Apartment,Shared room,1,4647,94
96103,510708,Argentina,-34.58248,-58.43523,House,Private room,2,1460,94
96257,320183,Argentina,-34.5981,-58.37775,Apartment,Entire home/apt,1,4647,94
96490,512049,Argentina,-34.58503,-58.41206,Apartment,Private room,1,664,94
96810,508291,Argentina,-34.59323,-58.3867,Apartment,Entire home/apt,2,4248,87
97043,514200,Argentina,-34.60517,-58.3884,Apartment,Entire home/apt,1,2390,97
98934,521351,Argentina,-34.5899,-58.39027,Apartment,Entire home/apt,1,4647,80
99362,417090,Argentina,-34.59328,-58.39443,Apartment,Entire home/apt,2,3983,80
100080,526435,Argentina,-34.60319,-58.38805,Apartment,Entire home/apt,1,1925,87
100930,529562,Argentina,-34.60475,-58.4093,Apartment,Entire home/apt,1,1991,90
104343,542973,Argentina,-34.6022,-58.35541,Aparthotel,Hotel room,1,7368,99
106475,547581,Argentina,-34.59045,-58.40926,Apartment,Entire home/apt,2,10621,96
107220,555337,Argentina,-34.59828,-58.41283,Apartment,Private room,1,929,90
107259,555693,Argentina,-34.60485,-58.39448,Apartment,Entire home/apt,5,26486,93
108089,559463,Argentina,-34.58643,-58.4242,Apartment,Entire home/apt,1,1991,90
108284,560338,Argentina,-34.60107,-58.3764,Loft,Entire home/apt,1,3651,96
111501,570921,Argentina,-34.57901,-58.41283,Apartment,Entire home/apt,1,3186,95
111934,570921,Argentina,-34.58199,-58.42776,Apartment,Entire home/apt,1,2257,94
117548,454822,Argentina,-34.57247,-58.41936,Apartment,Entire home/apt,1,4315,94
118069,530261,Argentina,-34.58014,-58.43209,Apartment,Entire home/apt,1,4647,91
118070,530261,Argentina,-34.58533,-58.42802,Apartment,Entire home/apt,1,1991,95
118724,599519,Argentina,-34.6,-58.43025,Apartment,Private room,2,3186,94
119036,601227,Argentina,-34.59078,-58.39751,Apartment,Entire home/apt,1,2655,100
119966,62183,Argentina,-34.60564,-58.3994,Apartment,Private room,2,2323,94
120874,530261,Argentina,-34.5911,-58.39978,Apartment,Entire home/apt,1,6638,93
122907,426566,Argentina,-34.61982,-58.4166,Apartment,Entire home/apt,1,1261,96
125123,622759,Argentina,-34.57353,-58.45365,Apartment,Private room,1,1062,100
126852,628818,Argentina,-34.61748,-58.36285,Apartment,Entire home/apt,1,7966,94
127822,632638,Argentina,-34.56286,-58.4543,Apartment,Entire home/apt,2,33190,90
129681,638545,Argentina,-34.55601,-58.45717,Apartment,Entire home/apt,1,1925,94
129900,632638,Argentina,-34.56098,-58.45442,Apartment,Private room,1,1659,100
129932,319901,Argentina,-34.58264,-58.42451,Condominium,Entire home/apt,1,5310,98
130248,641573,Argentina,-34.57717,-58.41138,Apartment,Entire home/apt,1,1859,92
130275,641573,Argentina,-34.5771,-58.41134,Apartment,Entire home/apt,1,1328,90
